City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-02-19 17:39:23,42.6,-73.97,39.0,40,75,19.46
1,Mayo,US,2020-02-19 17:39:51,38.89,-76.51,48.99,39,1,10.29
2,Cherskiy,RU,2020-02-19 17:40:05,68.75,161.3,-28.14,96,84,6.29
3,Rikitea,PF,2020-02-19 17:40:05,-23.12,-134.97,78.8,79,5,15.1
4,Kamaishi,JP,2020-02-19 17:40:05,39.27,141.88,31.69,82,76,3.53
5,Namibe,AO,2020-02-19 17:40:05,-15.2,12.15,74.35,78,78,10.83
6,Komsomolskiy,UZ,2020-02-19 17:40:06,40.43,71.72,32.0,80,0,6.93
7,Acapulco,MX,2020-02-19 17:40:06,16.86,-99.89,84.2,58,5,5.82
8,Pacific Grove,US,2020-02-19 17:40:06,36.62,-121.92,53.01,76,1,5.82
9,Saint-Francois,FR,2020-02-19 17:40:06,46.42,3.91,48.2,66,75,2.73
10,High Level,CA,2020-02-19 17:40:06,58.52,-117.14,-7.6,76,40,4.7
11,Punta Arenas,CL,2020-02-19 17:39:26,-53.15,-70.92,55.4,57,40,29.97
12,Surt,LY,2020-02-19 17:40:07,31.21,16.59,57.72,76,64,9.98
13,Gamba,GA,2020-02-19 17:40:07,-2.65,10.0,80.49,85,90,8.01
14,Poum,NC,2020-02-19 17:40:07,-20.23,164.02,80.26,78,37,16.93
15,Atuona,PF,2020-02-19 17:40:07,-9.8,-139.03,81.5,79,66,19.3
16,Makakilo City,US,2020-02-19 17:40:07,21.35,-158.09,73.4,78,90,17.22
17,Koygorodok,RU,2020-02-19 17:40:08,60.45,51.0,31.98,97,100,6.46
18,Trebisacce,IT,2020-02-19 17:40:08,39.87,16.53,59.0,82,75,2.24
19,Penarroya-Pueblonuevo,ES,2020-02-19 17:40:08,38.3,-5.27,68.0,52,0,2.24
20,Provideniya,RU,2020-02-19 17:40:08,64.38,-173.3,-10.25,89,100,14.29
21,Luderitz,NA,2020-02-19 17:40:09,-26.65,15.16,64.67,92,2,10.63
22,Mount Gambier,AU,2020-02-19 17:40:09,-37.83,140.77,57.2,76,90,9.17
23,Ust-Kut,RU,2020-02-19 17:40:09,56.79,105.77,10.29,96,100,3.49
24,Kapaa,US,2020-02-19 17:40:09,22.08,-159.32,73.4,64,20,25.28
25,Bengkulu,ID,2020-02-19 17:40:09,-3.8,102.27,74.77,87,100,4.68
26,Bluff,NZ,2020-02-19 17:40:10,-46.6,168.33,50.0,92,66,2.77
27,Ribeira Grande,PT,2020-02-19 17:40:10,38.52,-28.7,62.6,82,40,24.16
28,Esperance,AU,2020-02-19 17:40:10,-33.87,121.9,59.0,77,19,8.05
29,Sitka,US,2020-02-19 17:40:10,57.05,-135.33,37.4,84,90,6.93
30,Qaanaaq,GL,2020-02-19 17:40:10,77.48,-69.36,-12.23,57,0,7.74
31,Hithadhoo,MV,2020-02-19 17:40:11,-0.6,73.08,83.14,79,3,16.31
32,Tanete,ID,2020-02-19 17:40:11,-3.94,119.78,75.79,88,100,1.52
33,Dikson,RU,2020-02-19 17:40:11,73.51,80.55,24.12,94,100,25.52
34,Mar Del Plata,AR,2020-02-19 17:40:12,-38.0,-57.56,81.0,41,0,21.92
35,Vila Franca Do Campo,PT,2020-02-19 17:40:12,37.72,-25.43,62.6,93,75,13.87
36,Port-Gentil,GA,2020-02-19 17:40:12,-0.72,8.78,86.0,79,40,8.05
37,Vila Velha,BR,2020-02-19 17:40:12,-20.33,-40.29,87.8,66,20,14.99
38,Tasiilaq,GL,2020-02-19 17:40:12,65.61,-37.64,24.8,62,75,4.7
39,Vaini,TO,2020-02-19 17:40:12,-21.2,-175.2,75.2,78,75,6.93
